@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
680,'2026/06/17 13:21:41:411',9,19.996193,43.671185,19.796019,0,0,11.315696,0,0,1,0,0,0,0,0
681,'2026/06/17 13:21:41:431',9,21.332861,45.156391,15.676514,0,0,6.671201,0,0,1,0,0,0,0,0
682,'2026/06/17 13:21:41:476',9,16.061071,43.419247,13.616035,0,0,6.933198,0,0,1,0,0,0,0,0
683,'2026/06/17 13:21:50:121',10,5.458914,9.339817,0,1.065628,3.940544,4.099153,0,0,0,1,0,0,0,0
684,'2026/06/17 13:21:50:172',10,5.950556,7.679294,0,3.452739,2.216107,4.040349,0,0,0,1,0,0,0,0
685,'2026/06/17 13:21:50:218',10,2.610688,8.144253,0.115445,0.070555,3.837801,3.567089,0,0,0,1,0,0,0,0
686,'2026/06/17 13:21:50:265',10,16.414869,1.08515,0.248709,0,19.135273,9.150094,0,0,0,1,0,0,0,0
687,'2026/06/17 13:21:50:293',10,13.289605,8.213378,18.200901,0,5.964132,0,0,0,0,1,0,0,0,0
688,'2026/06/17 13:21:50:355',10,20.046404,13.639868,1.308367,0,0,0,0,0,0,1,0,0,0,0
689,'2026/06/17 13:21:50:405',10,16.634001,17.796207,0,4.27182,0,8.394289,0,0,0,1,0,0,0,0
690,'2026/06/17 13:21:50:451',10,16.273256,25.963352,0,8.618836,0,10.667537,0,0,0,1,0,0,0,0
691,'2026/06/17 13:21:50:486',10,2.37168,65.090538,18.075106,9.515607,5.332676,21.968752,0,0,0,1,0,0,0,0
692,'2026/06/17 13:21:50:543',10,0,51.508286,14.566803,7.148209,9.09464,19.124813,0,0,0,1,0,0,0,0
693,'2026/06/17 13:21:50:578',10,0,50.586868,14.841823,2.437109,10.517579,15.293183,0,0,0,1,0,0,0,0
694,'2026/06/17 13:21:50:624',10,0.950048,56.068779,12.218079,3.140768,8.190362,14.248425,0,0,0,1,0,0,0,0
695,'2026/06/17 13:21:50:685',10,2.800955,50.470665,12.667243,0,9.062391,12.698404,0,0,0,1,0,0,0,0
696,'2026/06/17 13:21:50:717',10,0,54.233322,16.277687,0,11.523354,9.073455,0,0,0,1,0,0,0,0
697,'2026/06/17 13:21:50:781',10,2.673249,54.737331,17.358763,1.090413,8.981308,10.552691,0,0,0,1,0,0,0,0
698,'2026/06/17 13:21:50:819',10,0.298537,56.939358,15.932242,3.554819,9.88826,11.134857,0,0,0,1,0,0,0,0
699,'2026/06/17 13:21:50:868',10,2.300814,58.28334,17.344488,1.886214,9.842074,13.143945,0,0,0,1,0,0,0,0
700,'2026/06/17 13:21:50:915',10,2.178641,56.084007,17.506145,0,10.304433,11.111532,0,0,0,1,0,0,0,0
701,'2026/06/17 13:21:50:962',10,2.827067,54.756325,15.239228,0,13.781403,7.464858,0,0,0,1,0,0,0,0
702,'2026/06/17 13:21:51:017',10,1.506485,56.958637,13.040135,0,13.685891,9.937963,0,0,0,1,0,0,0,0
703,'2026/06/17 13:21:51:054',10,0.912527,56.362076,16.468889,0,12.235991,9.427906,0,0,0,1,0,0,0,0
704,'2026/06/17 13:21:51:100',10,3.026792,60.095154,13.907423,0,8.078856,12.278696,0,0,0,1,0,0,0,0
705,'2026/06/17 13:21:51:147',10,7.77912,54.564087,16.770823,0,9.238167,11.296657,0,0,0,1,0,0,0,0
706,'2026/06/17 13:21:51:193',10,6.699113,56.210995,16.124542,0,8.974611,9.155947,0,0,0,1,0,0,0,0
707,'2026/06/17 13:21:51:240',10,7.385687,59.423977,15.772128,0,12.486827,10.165751,0,0,0,1,0,0,0,0
708,'2026/06/17 13:21:51:286',10,3.265026,56.165695,17.167372,0,12.117176,9.192904,0,0,0,1,0,0,0,0
709,'2026/06/17 13:21:51:333',10,0.795253,57.430492,18.447886,0,13.257034,9.926908,0,0,0,1,0,0,0,0
710,'2026/06/17 13:21:51:367',10,0,58.109699,13.237383,0,10.806669,7.380595,0,0,0,1,0,0,0,0
711,'2026/06/17 13:21:51:414',10,0,59.226383,13.695596,0,8.39895,6.183926,0,0,0,1,0,0,0,0
712,'2026/06/17 13:21:51:474',10,0.950733,56.026005,12.763599,0,11.075066,8.112959,0,0,0,1,0,0,0,0
713,'2026/06/17 13:21:51:508',10,2.096101,59.364704,13.347749,0,9.548075,11.14393,0,0,0,1,0,0,0,0
714,'2026/06/17 13:21:51:570',10,3.012987,60.051258,12.796905,0,13.156351,5.622643,0,0,0,1,0,0,0,0
715,'2026/06/17 13:21:51:600',10,4.221337,60.028324,13.800076,0,13.809225,5.622031,0,0,0,1,0,0,0,0
716,'2026/06/17 13:21:51:658',10,4.72544,58.728374,16.022402,0,10.740621,7.644874,0,0,0,1,0,0,0,0
717,'2026/06/17 13:21:51:701',10,5.033154,57.599586,15.465897,0,12.171668,8.954643,0,0,0,1,0,0,0,0
718,'2026/06/17 13:21:51:750',10,6.384423,57.884064,14.537814,0,9.043519,7.839215,0,0,0,1,0,0,0,0
719,'2026/06/17 13:21:51:806',10,6.069542,58.417709,18.597485,0,12.880271,8.871752,0,0,0,1,0,0,0,0
720,'2026/06/17 13:21:51:843',10,2.635614,58.672825,16.718723,0,12.377341,6.840124,0,0,0,1,0,0,0,0
721,'2026/06/17 13:21:51:890',10,9.878753,62.284451,13.896373,0,10.722315,5.676937,0,0,0,1,0,0,0,0
722,'2026/06/17 13:21:51:933',10,6.567623,57.832603,13.528325,0,12.510718,4.95667,0,0,0,1,0,0,0,0
723,'2026/06/17 13:21:51:983',10,1.962264,57.735432,15.018047,0,16.055664,3.006727,0,0,0,1,0,0,0,0
724,'2026/06/17 13:21:52:030',10,8.485449,53.941055,19.108988,0,15.139762,5.736394,0,0,0,1,0,0,0,0
725,'2026/06/17 13:21:52:075',10,3.652676,58.910976,16.545919,0,15.486343,6.016851,0,0,0,1,0,0,0,0
726,'2026/06/17 13:21:52:122',10,1.567207,58.665783,16.584978,0,17.158802,2.852885,0,0,0,1,0,0,0,0
727,'2026/06/17 13:21:52:157',10,2.710823,56.044121,16.51561,0,13.334541,0,0,0,0,1,0,0,0,0
728,'2026/06/17 13:21:52:204',10,8.285778,56.083118,15.517086,0,15.710403,0,0,0,0,1,0,0,0,0
729,'2026/06/17 13:21:52:265',10,5.622773,59.946117,15.063191,0,12.92716,0,0.565446,0,0,1,0,0,0,0
730,'2026/06/17 13:21:52:298',10,7.316535,55.40234,15.187614,0,15.510098,0.162307,1.501122,0,0,1,0,0,0,0
731,'2026/06/17 13:21:52:354',10,3.942646,55.350357,15.362009,0,16.218836,0,1.38149,0,0,1,0,0,0,0
732,'2026/06/17 13:21:52:393',10,4.853275,58.817505,20.40292,0,16.790239,0,1.173626,0,0,1,0,0,0,0
733,'2026/06/17 13:21:52:448',10,7.331862,55.925606,17.220211,0,14.712637,2.612814,0,0,0,1,0,0,0,0
