@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
42,'2026/06/17 14:41:26:603',3,38.837936,0,0,0,0,0,0,0,9.346038,0,0,0,0,0,1.759741,0,5.748971,0,0,0,0,0,1.118677,0,0,0,0,1.37434,0,2.794418,2
43,'2026/06/17 14:41:26:635',3,11.663281,0,0,0,0,0,0,0,3.758051,2.427667,0,0,0,0,0,0,0.110629,0,0,0.850452,0,0,0.002187,0.970912,0,0,0.293496,0.25052,0,0.600465,2
44,'2026/06/17 14:41:26:696',3,20.600946,0,0,0,0,0,0,1.635291,5.014587,1.008782,0,4.852597,1.537518,0,0,0,0,0,0,0.992818,0.025067,0,1.13566,0,0,0.594139,0.003854,0.988742,0.909648,0.291663,2
45,'2026/06/17 14:41:26:744',3,20.805346,0,0,0,0,0,0,0,9.235956,0.747516,1.340649,4.125051,0,0,0,0,2.983821,0,0,0,0,0,2.718483,0,0,0.282613,3.521799,1.402525,0,2.103927,2
46,'2026/06/17 14:41:26:790',3,29.913673,0,0,0,0,0,0,0,9.254417,0,0,1.568109,0,0,0.992578,0,3.76729,0,0,0,0.046998,0,1.037812,0,0,1.115318,1.849648,0.531976,0,1.85945,2
47,'2026/06/17 14:41:26:825',3,35.335323,0,0,0,0,0,0,0,8.473122,0,0,2.795325,0,1.600716,3.092029,0.109347,6.217143,0,0,0,0,0,0.995489,0,0,0,0,1.154341,0.884526,4.219071,2
48,'2026/06/17 14:41:26:887',3,0,0,0,0,0,0,0,0,3.226169,0.522901,0,0,0,1.200727,0.386458,2.469007,2.275012,3.606396,0,0,0,0,0,0.645487,0,0.55847,1.046887,0.915188,0,0.94122,2
49,'2026/06/17 14:41:26:934',3,16.764263,0,0,0,0,0,0,0.4351,8.481613,0,0,5.791181,0,0,0,0,0,0,0,0,1.632445,0,1.394713,0.150778,0.808555,0.763666,0,0.858173,0,0.334801,2
50,'2026/06/17 14:41:26:966',3,27.67767,0,0,0,0,0,0,0,8.107285,0,0,4.887269,0,0,0.431653,0,3.187414,0,0,0,1.547674,0,0.861285,0,0.065723,0,1.186706,2.897529,0.222578,2.560949,2
51,'2026/06/17 14:41:27:029',3,36.611015,0,0,0,0,0,0,0,6.457694,0,0,3.801461,0,0,0,0,0.981134,0,0,0,0.926822,0,0.396507,0,0.507873,0,0.223114,2.692844,0.958905,3.518481,2
52,'2026/06/17 14:41:27:061',3,13.862909,0,0,0,0,0,0,0,4.100423,0,0,2.296378,0,0,0,0,0,0,0,2.14246,0.681132,0,0,0,0,0.249393,1.453361,1.612127,0.28528,3.362934,2
53,'2026/06/17 14:41:27:123',3,8.955432,0,0,0,0,0,0,1.838003,5.747179,0,0,4.826669,0,0,0,0,0,0,0,0.28805,2.091277,0,1.413709,0.214543,0,0.736301,1.658663,1.295336,0,0,2
54,'2026/06/17 14:41:27:156',3,27.596762,0,0.1047,0,0,0,0,0,11.011784,0,0,3.603435,0,0,0,0,2.131738,0,1.673481,0,0,0,1.180222,0,0.053597,0,1.385598,4.290331,0,3.018763,2
55,'2026/06/17 14:41:27:202',3,33.4524,0,4.249166,0,0,0,0,0,6.799699,0,0,5.504624,0,0,0,0,2.617985,0,2.879659,0,1.879473,0,0,0,0,0,0.06883,1.169783,0,2.080629,2
56,'2026/06/17 14:41:27:250',3,32.092468,0,0,0,0,0,0,0,7.960087,0,0,3.88733,0,0,0,0,0.968606,0,0,0,2.549891,0,0,0,0,0,0,2.482213,0.490641,3.264457,2
57,'2026/06/17 14:41:27:298',3,3.03756,0,0,0,0,0,0,0,3.343331,2.279039,0.36081,0,1.316906,1.204833,0,0,0,0,0,1.204143,0.748645,0.74805,0.351558,0,0,0,0.375119,1.635152,0.333612,0,2
58,'2026/06/17 14:41:27:346',3,23.903887,0,0,0,0,0,0,0,8.984079,0,0,3.152364,0,0,0,0,0,0,0,0,2.622248,0,0.065416,0,0.129201,0,1.640847,3.685737,0,1.935534,2
59,'2026/06/17 14:41:32:537',4,0,0,4.976295,0,0,0.028056,0.398231,0,0.498999,0,0,3.295923,2.597677,3.336023,0,0,0,1.401626,0,0,0.420352,0,0.126247,0.53011,0,0.87362,1.268225,0.347251,0,0.841295,3
